"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","ensembl"
6300.94984383843,0.0761526227463309,0.0871306080211388,0.874005409532497,0.382115307779746,0.561024629076635,"Gnai3","14679","ENSMUSG00000000001"
3452.6375299531,-2.5446885725141,0.133041165268847,-19.1270767011987,1.5026792592529e-81,1.48219536829782e-79,"Cdc45","12544","ENSMUSG00000000028"
87.3322527794869,-0.780802382605419,0.205186959329913,-3.80532166934641,0.000141620019909702,0.00062804088810405,"Scml2","107815","ENSMUSG00000000037"
2.95640365331889,1.78087547977548,1.69690786993049,1.04948271578729,0.293956006145366,0.466088179845702,"Apoh","11818","ENSMUSG00000000049"
1537.37790353835,0.0594753768303318,0.102904895930934,0.577964501030634,0.563288086296903,0.731825443694298,"Narf","67608","ENSMUSG00000000056"
3855.86006618704,-0.452155970975966,0.199354277334494,-2.26810268142529,0.0233229489843748,0.0594849465046501,"Cav2","12390","ENSMUSG00000000058"
12578.0983641331,0.973909122625398,0.167723861167859,5.80662236037305,6.37456913664499e-09,5.30016859759822e-08,"Klf6","23849","ENSMUSG00000000078"
1996.68532508334,0.368084339164066,0.111239877273593,3.30892435505631,0.000936551373623104,0.00347700263333411,"Scmh1","29871","ENSMUSG00000000085"
5219.02232037411,0.29587157061306,0.16569751202466,1.78561263230692,0.0741620001260322,0.157989014519041,"Cox5a","12858","ENSMUSG00000000088"
2667.75341034036,0.520508647435712,0.128585231692428,4.04796601121934,5.16646465175176e-05,0.000248204855263983,"Tbx2","21385","ENSMUSG00000000093"
1036.93244690503,0.507820958173685,0.136832011212045,3.71127306889268,0.000206219494041587,0.000883373608647632,"Tbx4","21387","ENSMUSG00000000094"
55.0017304174584,4.30619939810442,0.402495936908232,10.698740044887,1.03171496342085e-26,2.44751520626204e-25,"Ngfr","18053","ENSMUSG00000000120"
109.144217203029,-0.250350261864077,0.298970278929373,-0.837375082100446,0.402381767558914,0.58174880656414,"Wnt9a","216795","ENSMUSG00000000126"
2076.55899278891,0.103286422479341,0.0844467573219323,1.22309518748703,0.221293746103168,0.376544951490781,"Fer","14158","ENSMUSG00000000127"
3887.32024660012,0.145106438980753,0.122582443988674,1.18374568379597,0.23651374910246,0.396325480322711,"Xpo6","74204","ENSMUSG00000000131"
3658.13328701696,0.0513098402178845,0.0811609299074666,0.63219877195079,0.527256999681889,0.701358735562292,"Tfe3","209446","ENSMUSG00000000134"
679.727183702902,1.61326945893517,0.210328947667431,7.67022075100213,1.71700588195681e-14,2.25181296247394e-13,"Axin2","12006","ENSMUSG00000000142"
724.722307056388,0.390041461142485,0.100557623951867,3.87878557402253,0.000104979237831837,0.000474647984609519,"Brat1","231841","ENSMUSG00000000148"
2966.28396016238,-0.612432898645836,0.123953410380101,-4.94083137178573,7.77901644685107e-07,5.04801063817299e-06,"Gna12","14673","ENSMUSG00000000149"
366.854520388182,1.04035625676866,0.133149025113659,7.81347257992006,5.56335216620326e-15,7.54980325465716e-14,"Slc22a18","18400","ENSMUSG00000000154"
54.4505355644671,0.90782937216817,0.303828037613289,2.98797102235723,0.00280836180043395,0.00928282236420869,"Pih1d2","72614","ENSMUSG00000000167"
2917.87746168154,-0.284523248467884,0.0942834658332729,-3.01774278186828,0.0025466495890331,0.0085119957103744,"Dlat","235339","ENSMUSG00000000168"
4453.99608485004,-0.0243908929955832,0.137204753088451,-0.177770029438115,0.858903585452067,0.916825886823329,"Sdhd","66925","ENSMUSG00000000171"
13874.7353274577,0.179356140016905,0.261701817150586,0.685345413225396,0.493125981084859,0.671810616521315,"Ccnd2","12444","ENSMUSG00000000184"
3522.48301950481,0.485662240669328,0.0856945852035627,5.66736205695685,1.45012714698657e-08,1.16389005831586e-07,"Gpr107","277463","ENSMUSG00000000194"
1.94143576074691,0.835491191080981,1.94596903730219,0.429344545090641,0.667672504084404,0.787012224462351,"Btbd17","72014","ENSMUSG00000000202"
1.75698298075223,0.707922977432813,1.75393532079087,0.403619773797362,0.686492342598043,0.797750031081199,"Slfn4","20558","ENSMUSG00000000204"
19.3800012114742,0.824187188927819,1.70278002832371,0.484024463065371,0.628368507898037,0.772213390591286,"Scnn1g","20278","ENSMUSG00000000216"
60.253818349799,1.16450712303975,0.285256776988711,4.08231185717223,4.45899067568329e-05,0.000217167214794648,"Drp2","13497","ENSMUSG00000000223"
36.0922761500219,-1.2358392649866,0.300463918269401,-4.11310373673061,3.90374856243787e-05,0.00019227372354441,"Tspan32","27027","ENSMUSG00000000244"
244.028414984154,5.47100638598952,1.0481469517271,5.21969402952,1.79218967098251e-07,1.26173653733596e-06,"Lhx2","16870","ENSMUSG00000000247"
705.123520178215,0.33174866666961,0.203784769980673,1.62793650723296,0.10353834943193,0.206492732436289,"Gmpr","66355","ENSMUSG00000000253"
768.743951583891,-0.7788770814374,0.185854290593984,-4.19079419123517,2.77979725202326e-05,0.000140838551771203,"Mid2","23947","ENSMUSG00000000266"
5510.73864987947,2.58297231685113,0.196894728968423,13.1185447695015,2.57838533148838e-39,9.29259990335071e-38,"Trim25","217069","ENSMUSG00000000275"
1040.10427856036,0.155031270780842,0.148088840331499,1.04688017296781,0.295154847412559,0.467187246229626,"Dgke","56077","ENSMUSG00000000276"
18130.6356723443,0.30404100258919,0.1357481785053,2.23974277914395,0.0251076265980121,0.0634068225405397,"Scpep1","74617","ENSMUSG00000000278"
3268.82677617049,0.578510779819134,0.19367399683583,2.98703382627827,0.00281698551652295,0.00930767375972436,"Mnt","17428","ENSMUSG00000000282"
